name,label,content
201811_V1_1,sad,他们不会来接我
201811_V1_2,sad,不知哪一天我死了
201811_V1_3,sad,看都看不见亲人
201811_V1_4,sad,有家回不得
201811_V1_5,sad,有家人看不见
201811_V1_6,neutral,我侄女叫?嗯...叫...
201811_V1_7,neutral,我现在等着家里人看怎么回事，我都糊涂了
201811_V1_8,neutral,我要能一百岁就不容易
201811_V2_1,neutral,我刚到了那儿刚回来
201811_V2_2,neutral,这不做的剩饭没吃呢
201811_V2_3,sad,可想你
201811_V2_4,neutral,在哪上班呢
201811_V3_1,neutral,都来都来，再拿点吃的来啊
201811_V3_2,neutral,我没有深入的想
201811_V3_3,angry,行了行了，我不能喝那么多
201811_V3_4,angry,哎呀，你别弄这个
201811_V3_5,angry,我当然要喝了
201811_V4_1,angry,说得什么呀
201811_V4_2,angry,干嘛要跟着我们，这照什么
201811_V5_1,neutral,不是他刚才给我送了药来，我看他走哪儿去了
201811_V5_2,happy,你都到门这了
201811_V5_3,happy,没关系，这门开着都没关系
201811_V5_4,happy,每天这个门都开着，我这门
